x,y,vx,vy,objet_raquette_2
667,257,15,15,300
682,272,15,15,310
697,287,15,15,310
712,302,15,15,310
727,317,15,15,310
742,332,15,15,320
757,347,15,15,320
772,362,15,15,330
787,377,15,15,330
802,392,15,15,330
817,407,15,15,340
832,422,15,15,340
847,437,15,15,340
862,452,15,15,340
877,467,15,15,350
892,482,15,15,360
907,467,15,-15,360
922,452,15,-15,360
907,437,-15,-15,360
892,422,-15,-15,370
877,407,-15,-15,370
862,392,-15,-15,370
847,377,-15,-15,370
832,362,-15,-15,380
817,347,-15,-15,380
802,332,-15,-15,380
787,317,-15,-15,380
772,302,-15,-15,380
757,287,-15,-15,380
742,272,-15,-15,380
727,257,-15,-15,380
712,242,-15,-15,380
697,227,-15,-15,380
682,212,-15,-15,380
667,197,-15,-15,380
652,182,-15,-15,380
637,167,-15,-15,380
622,152,-15,-15,380
607,137,-15,-15,380
592,122,-15,-15,380
577,107,-15,-15,380
562,92,-15,-15,380
547,107,-15,15,380
532,122,-15,15,380
517,137,-15,15,380
502,152,-15,15,380
487,167,-15,15,380
472,182,-15,15,380
457,197,-15,15,380
442,212,-15,15,380
427,227,-15,15,380
412,242,-15,15,380
397,257,-15,15,380
382,272,-15,15,380
367,287,-15,15,380
352,302,-15,15,380
337,317,-15,15,380
322,332,-15,15,380
307,347,-15,15,380
292,362,-15,15,380
277,377,-15,15,380
262,392,-15,15,380
247,407,-15,15,380
232,422,-15,15,380
217,437,-15,15,380
202,452,-15,15,380
187,467,-15,15,380
172,482,-15,15,380
157,467,-15,-15,380
142,452,-15,-15,380
127,437,-15,-15,380
112,422,-15,-15,380
97,407,-15,-15,380
82,392,-15,-15,380
67,377,-15,-15,380
52,362,-15,-15,380
37,347,-15,-15,380
52,332,15,-15,380
37,317,-15,-15,380
52,302,15,-15,380
37,287,-15,-15,380
52,272,15,-15,380
37,257,-15,-15,380
52,242,15,-15,380
37,227,-15,-15,380
22,212,-15,-15,380
7,197,-15,-15,380
-8,182,-15,-15,380
-23,167,-15,-15,380
-38,152,-15,-15,380
472,272,-15,-15,380
457,257,-15,-15,380
442,242,-15,-15,380
427,227,-15,-15,380
412,212,-15,-15,380
397,197,-15,-15,380
382,182,-15,-15,380
367,167,-15,-15,380
352,152,-15,-15,380
337,137,-15,-15,380
322,122,-15,-15,380
307,107,-15,-15,380
292,92,-15,-15,380
277,107,-15,15,380
262,122,-15,15,380
247,137,-15,15,380
232,152,-15,15,380
217,167,-15,15,380
202,182,-15,15,380
187,197,-15,15,380
172,212,-15,15,380
157,227,-15,15,380
142,242,-15,15,380
127,257,-15,15,380
112,272,-15,15,380
97,287,-15,15,380
82,302,-15,15,380
67,317,-15,15,380
52,332,-15,15,380
67,347,15,15,380
82,362,15,15,380
97,377,15,15,380
112,392,15,15,380
127,407,15,15,380
142,422,15,15,380
157,437,15,15,380
172,452,15,15,380
187,467,15,15,380
202,482,15,15,380
217,467,15,-15,380
232,452,15,-15,380
247,437,15,-15,370
262,422,15,-15,370
277,407,15,-15,370
292,392,15,-15,370
307,377,15,-15,370
322,362,15,-15,360
337,347,15,-15,360
352,332,15,-15,360
367,317,15,-15,350
382,302,15,-15,350
397,287,15,-15,350
412,272,15,-15,350
427,257,15,-15,340
442,242,15,-15,340
457,227,15,-15,340
472,212,15,-15,330
487,197,15,-15,330
502,182,15,-15,330
517,167,15,-15,330
532,152,15,-15,320
547,137,15,-15,320
562,122,15,-15,320
577,107,15,-15,310
592,92,15,-15,310
607,107,15,15,310
622,122,15,15,300
637,137,15,15,300
652,152,15,15,300
667,167,15,15,300
682,182,15,15,300
697,197,15,15,300
712,212,15,15,300
727,227,15,15,300
742,242,15,15,300
757,257,15,15,300
772,272,15,15,300
787,287,15,15,300
802,302,15,15,310
817,317,15,15,310
832,332,15,15,310
847,347,15,15,310
862,362,15,15,310
877,377,15,15,320
892,392,15,15,320
907,407,15,15,320
922,422,15,15,330
907,437,-15,15,330
892,452,-15,15,330
877,467,-15,15,340
862,482,-15,15,340
847,467,-15,-15,340
832,452,-15,-15,340
817,437,-15,-15,340
802,422,-15,-15,340
787,407,-15,-15,340
772,392,-15,-15,340
757,377,-15,-15,340
742,362,-15,-15,340
727,347,-15,-15,340
712,332,-15,-15,340
697,317,-15,-15,340
682,302,-15,-15,340
667,287,-15,-15,340
652,272,-15,-15,340
637,257,-15,-15,340
622,242,-15,-15,340
607,227,-15,-15,340
592,212,-15,-15,340
577,197,-15,-15,340
562,182,-15,-15,340
547,167,-15,-15,340
532,152,-15,-15,340
517,137,-15,-15,340
502,122,-15,-15,340
487,107,-15,-15,340
472,92,-15,-15,340
457,107,-15,15,340
442,122,-15,15,340
427,137,-15,15,340
412,152,-15,15,340
397,167,-15,15,340
382,182,-15,15,340
367,197,-15,15,340
352,212,-15,15,340
337,227,-15,15,340
322,242,-15,15,340
307,257,-15,15,340
292,272,-15,15,340
277,287,-15,15,340
262,302,-15,15,340
247,317,-15,15,340
232,332,-15,15,340
217,347,-15,15,340
202,362,-15,15,340
187,377,-15,15,340
172,392,-15,15,340
157,407,-15,15,340
142,422,-15,15,340
127,437,-15,15,340
112,452,-15,15,340
97,467,-15,15,340
82,482,-15,15,340
67,467,-15,-15,340
52,452,-15,-15,340
37,437,-15,-15,340
22,422,-15,-15,340
7,407,-15,-15,340
-8,392,-15,-15,340
-23,377,-15,-15,340
-38,362,-15,-15,340
472,272,-15,-15,340
457,257,-15,-15,340
442,242,-15,-15,340
427,227,-15,-15,340
412,212,-15,-15,340
397,197,-15,-15,340
382,182,-15,-15,340
367,167,-15,-15,340
352,152,-15,-15,340
337,137,-15,-15,340
322,122,-15,-15,340
307,107,-15,-15,340
292,92,-15,-15,340
277,107,-15,15,340
262,122,-15,15,340
247,137,-15,15,340
232,152,-15,15,340
217,167,-15,15,340
202,182,-15,15,340
187,197,-15,15,340
172,212,-15,15,340
157,227,-15,15,340
142,242,-15,15,340
127,257,-15,15,340
112,272,-15,15,340
97,287,-15,15,340
82,302,-15,15,340
67,317,-15,15,340
52,332,-15,15,340
67,347,15,15,340
82,362,15,15,340
97,377,15,15,340
112,392,15,15,340
127,407,15,15,340
142,422,15,15,340
157,437,15,15,340
172,452,15,15,340
187,467,15,15,330
202,482,15,15,330
217,467,15,-15,330
232,452,15,-15,330
247,437,15,-15,330
262,422,15,-15,330
277,407,15,-15,320
292,392,15,-15,320
307,377,15,-15,320
322,362,15,-15,310
337,347,15,-15,310
352,332,15,-15,310
367,317,15,-15,310
382,302,15,-15,300
397,287,15,-15,300
412,272,15,-15,300
427,257,15,-15,290
442,242,15,-15,290
457,227,15,-15,290
472,212,15,-15,290
487,197,15,-15,290
502,182,15,-15,290
517,167,15,-15,290
532,152,15,-15,300
547,137,15,-15,300
562,122,15,-15,300
577,107,15,-15,300
592,92,15,-15,300
607,107,15,15,310
622,122,15,15,310
637,137,15,15,310
652,152,15,15,310
667,167,15,15,310
682,182,15,15,310
697,197,15,15,310
712,212,15,15,310
727,227,15,15,310
742,242,15,15,310
757,257,15,15,320
772,272,15,15,320
